135, Finished Airing, TV-Tokyo, Studio-Pierrot, Manga, Comedy, Game, Shounen, 23-min.-per-ep., PG-13---Teens-13-or-older, 75, 8.17
136, Finished Airing, Fuji-TV, Nippon-Animation, Manga, Action, Adventure, Shounen, 23-min.-per-ep., PG-13---Teens-13-or-older, 62, 8.47
143, Finished Airing, Studio-Fantasia, TNK, Manga, Supernatural, Drama, Magic, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.01
144, Finished Airing, Movic, Toei-Animation, Visual-novel, Drama, Romance, Slice of Life, 24-min.-per-ep., G---All-Ages, 13, 7.22
145, Finished Airing, TV-Tokyo, J.C.-Staff, Manga, Comedy, Drama, Romance, 24-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.64
146, Finished Airing, Geneon-Universal-Entertainment, Estudio-nao-listado, Original, Sci-Fi, Comedy, Drama, 24-min.-per-ep., R+---Mild-Nudity, 12, 6.87
147, Finished Airing, Lantis, Funimation, Visual-novel, Drama, Romance, Slice of Life, 23-min.-per-ep., R+---Mild-Nudity, 14, 7.35
149, Finished Airing, Bandai-Visual, J.C.-Staff, Manga, Action, Mystery, Supernatural, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.11
150, Finished Airing, Aniplex, Production-I.G, Original, Action, Military, Mystery, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 50, 7.76
151, Finished Airing, Toei-Video, Toei-Animation, Manga, Action, Sci-Fi, Comedy, 45-min.-per-ep., R+---Mild-Nudity, 3, 7.15
152, Finished Airing, AIC, Gonzo, Original, Action, Sci-Fi, Super Power, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 7.34
153, Finished Airing, Sogo-Vision, Studio-Pierrot, Novel, Action, Adventure, Fantasy, 25-min.-per-ep., PG-13---Teens-13-or-older, 45, 8.13
154, Finished Airing, TV-Tokyo, Xebec, Manga, Action, Adventure, Comedy, 23-min.-per-ep., PG-13---Teens-13-or-older, 64, 7.83
155, Finished Airing, Kadokawa-Shoten, Madhouse-Inc., Manga, Action, Drama, Fantasy, 1-hr.-33-min., R---17+-(violence-&amp;-profanity), 1, 6.66
156, Finished Airing, Bandai-Visual, Madhouse-Inc., Manga, Action, Super Power, Drama, 24-min.-per-ep., R+---Mild-Nudity, 24, 7.52
157, Finished Airing, Starchild-Records, Xebec, Manga, Comedy, Ecchi, Fantasy, 23-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.08
158, Finished Airing, Rondo-Robe, Studio-Deen, Light-novel, Slice of Life, Drama, Romance, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.44
159, Finished Airing, Kadokawa-Shoten, J.C.-Staff, Manga, Adventure, Fantasy, Horror, 23-min.-per-ep., PG-13---Teens-13-or-older, 24, 6.40
160, Finished Airing, Pioneer-LDC, Estudio-nao-listado, Original, Adventure, Drama, Fantasy, 25-min.-per-ep., R---17+-(violence-&amp;-profanity), 13, 7.76
161, Finished Airing, GDH, Gonzo, Manga, Action, Comedy, Historical, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 7.40
162, Finished Airing, Broccoli, Madhouse-Inc., Manga, Comedy, Fantasy, Kids, 24-min.-per-ep., G---All-Ages, 26, 7.04
163, Finished Airing, Avex-Entertainment, Studio-Pierrot, Game, Adventure, Comedy, Fantasy, 20-min.-per-ep., PG---Children, 26, 6.54
164, Finished Airing, Tokuma-Shoten, Estudio-nao-listado, Original, Action, Adventure, Fantasy, 2-hr.-10-min., PG-13---Teens-13-or-older, 1, 8.80
165, Finished Airing, Asatsu-DK, Bones, Original, Action, Drama, Mecha, 23-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.50
166, Finished Airing, GDH, Gonzo, Other, Historical, Mecha, Samurai, 26-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.57
167, Finished Airing, Kadokawa-Shoten, Bones, Light-novel, Adventure, Comedy, Drama, 23-min.-per-ep., PG-13---Teens-13-or-older, 24, 7.48
168, Finished Airing, Yomiko-Advertising, Sunrise, Original, Action, Sci-Fi, Adventure, 24-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.43
169, Finished Airing, TBS, J.C.-Staff, Visual-novel, Action, Horror, Mystery, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 7.04
170, Finished Airing, TV-Asahi, Toei-Animation, Manga, Comedy, Sports, Drama, 23-min.-per-ep., PG-13---Teens-13-or-older, 101, 8.55
173, Finished Airing, Studio-Izena, Studio-Deen, Manga, Mystery, Comedy, Historical, 24-min.-per-ep., PG-13---Teens-13-or-older, 25, 7.31
174, Finished Airing, TV-Asahi, Madhouse-Inc., Manga, Action, Ecchi, Martial Arts, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 7.05
175, Finished Airing, TV-Tokyo-Music, Studio-Pierrot, Manga, Action, Adventure, Romance, 25-min.-per-ep., PG-13---Teens-13-or-older, 26, 6.70
177, Finished Airing, NHK, Funimation, Manga, Action, Adventure, Fantasy, 25-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.64
178, Finished Airing, WAO-World, Estudio-nao-listado, Manga, Magic, Comedy, Romance, 24-min.-per-ep., G---All-Ages, 26, 7.27
